Model,param_count,trainable_params,model_size_mb,checkpoint_size_mb,latency_ms,flops,gflops
Teacher (ResNet3D-50),46303475,46303475,176.63373947143555,176.93428707122803,432.74962600000435,10136455168,10.136455168
Student (MobileNet3D width 1.0),2419379,2419379,9.229198455810547,9.45783519744873,100.04069999995409,758565632,0.758565632
Student (MobileNet3D width 1.5),5231251,5231251,19.955638885498047,20.25007152557373,207.09630800003652,1511901568,1.511901568
